month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-05-01 00:00:00.000,Washington D.C.,CITY,742,14775,13156,11320,116616,5428,5967,10606,69101,2909,145,16827,4955,12265,9484,39834,4534,4764,7288,202277,12175,1281326,2021-05-01 00:00:00.000,Washington D.C.,1753258
2021-04-01 00:00:00.000,Wilkes-Barre Scranton,CITY,80,263,2878,230,66,282,73,212,1383,58,38,447,52,271,240,718,87,98,95,2540,233,16610,2021-04-01 00:00:00.000,Wilkes-Barre Scranton,24872
2021-04-01 00:00:00.000,"Lancaster, PA",CITY,4,174,1678,197,64,147,58,165,942,35,81,278,27,186,143,468,39,51,74,1875,157,10989,2021-04-01 00:00:00.000,"Lancaster, PA",16516
2021-04-01 00:00:00.000,"Portland, ME",CITY,110,132,2448,272,53,169,42,146,843,28,92,401,88,164,168,420,46,52,76,1543,121,12089,2021-04-01 00:00:00.000,"Portland, ME",18052
2022-01-01 00:00:00.000,Washington D.C.,CITY,966,6081,18129,7853,130179,5905,4982,4687,72979,3201,342,17120,5901,11883,11431,37062,6218,5022,6306,172876,10624,1190928,2022-01-01 00:00:00.000,Washington D.C.,1624611
2021-10-01 00:00:00.000,Eastern WV,CITY,86,91,4203,107,31,34,26,70,694,17,21,162,13,172,115,109,11,11,15,330,36,5049,2021-10-01 00:00:00.000,Eastern WV,10341
2021-01-01 00:00:00.000,Greater Maine,CITY,49,21,1452,42,5,72,12,35,160,6,50,160,12,14,8,65,6,7,22,177,23,1082,2021-01-01 00:00:00.000,Greater Maine,2924
2021-04-01 00:00:00.000,"Reading, PA",CITY,41,133,880,131,57,112,145,139,739,33,42,187,35,157,193,474,49,44,63,1050,132,8689,2021-04-01 00:00:00.000,"Reading, PA",12562
2021-07-01 00:00:00.000,York-Gettysburg,CITY,92,118,468,196,25,40,41,154,1055,43,32,200,52,237,146,579,37,52,64,1246,156,13381,2021-07-01 00:00:00.000,York-Gettysburg,17629
2021-12-01 00:00:00.000,Western WV,CITY,61,23,65,102,9,13,39,48,492,41,3,103,11,114,92,204,18,28,35,414,43,5208,2021-12-01 00:00:00.000,Western WV,6819
