month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-12-01 00:00:00.000,Pittsburg_PA,CITY,749,1903,3571,3122,23681,1513,1699,1814,22596,1197,129,6270,1397,5572,5363,12230,1375,1597,2158,35508,2740,284337,2021-12-01 00:00:00.000,Pittsburg_PA,396761
2021-06-01 00:00:00.000,Boston Surrounding-Providence,CITY,137,759,5245,982,1315,314,328,781,6417,211,186,1573,352,991,802,3506,365,517,619,7146,1089,83277,2021-06-01 00:00:00.000,Boston Surrounding-Providence,111627
2021-02-01 00:00:00.000,Pittsburg_PA,CITY,551,2140,31025,3934,4878,8243,895,2542,15610,642,1625,6543,1114,2851,1519,9452,1086,1146,1758,40289,3005,145640,2021-02-01 00:00:00.000,Pittsburg_PA,256108
2021-08-01 00:00:00.000,Baltimore_MD,CITY,599,2165,3175,3183,31835,1024,1188,2362,22806,924,437,6037,1191,3218,4284,10601,1796,1607,1914,35985,3424,258326,2021-08-01 00:00:00.000,Baltimore_MD,373442
2021-10-01 00:00:00.000,DC,CITY,2303,10701,18228,10549,120065,4819,4664,11404,87412,4620,126,19415,5814,11723,14392,11598,1729,2014,2173,83340,4227,1445884,2021-10-01 00:00:00.000,DC,1808256
2021-04-01 00:00:00.000,DC,CITY,659,13986,26199,11442,17864,11157,6027,11589,68678,2836,211,16917,4702,9826,10252,41085,4841,5144,7580,198256,12083,1432229,2021-04-01 00:00:00.000,DC,1840885
2021-08-01 00:00:00.000,Boston Surrounding-Providence,CITY,209,704,5941,1146,1412,295,448,694,7593,310,103,2041,412,1114,989,3118,378,478,797,7901,1226,88912,2021-08-01 00:00:00.000,Boston Surrounding-Providence,119945
2021-06-01 00:00:00.000,DC,CITY,469,10768,19141,9084,95586,3813,5405,9640,76566,3133,294,15262,4542,12137,8143,42326,4759,6422,7660,181925,12772,1313123,2021-06-01 00:00:00.000,DC,1754739
2021-06-01 00:00:00.000,New_England,CITY,665,4087,5153,4034,18541,1972,1818,3543,29204,1056,376,6714,2522,4612,4107,15658,1535,2184,2581,40729,4219,468346,2021-06-01 00:00:00.000,New_England,600649
2021-08-01 00:00:00.000,Pittsburg_PA,CITY,1115,2405,15152,3584,21143,1535,1402,2803,25190,893,527,8018,1551,5408,5731,11095,1324,1606,2060,53291,3759,259824,2021-08-01 00:00:00.000,Pittsburg_PA,398146
2021-09-01 00:00:00.000,Boston Surrounding-Providence,CITY,241,1328,8368,1264,948,327,427,670,7484,433,64,2086,488,1132,1334,1444,310,406,595,9295,1311,94225,2021-09-01 00:00:00.000,Boston Surrounding-Providence,127461
2021-09-01 00:00:00.000,Richmond_VA_WVA,CITY,968,3585,18978,2996,4223,930,1070,2498,21229,1227,173,5551,1318,4207,4751,4851,967,1180,1614,30557,3050,293659,2021-09-01 00:00:00.000,Richmond_VA_WVA,391715
2021-10-01 00:00:00.000,Richmond_VA_WVA,CITY,1247,2743,21443,2959,5825,1102,1034,3228,25182,1370,159,5486,1210,5063,4926,3491,369,537,481,11989,1011,351956,2021-10-01 00:00:00.000,Richmond_VA_WVA,434437
2021-04-01 00:00:00.000,Philadelphia,CITY,1410,20744,25224,21109,446401,23044,9191,17472,112960,4773,662,26655,11743,15469,18192,71315,7327,8523,11186,227352,18768,1620397,2021-04-01 00:00:00.000,Philadelphia,2504981
2021-11-01 00:00:00.000,Richmond_VA_WVA,CITY,844,1730,1593,2584,3189,872,1179,8300,22675,1403,101,5219,1129,4811,4577,3032,281,499,455,7554,675,316588,2021-11-01 00:00:00.000,Richmond_VA_WVA,371212
2021-11-01 00:00:00.000,Pittsburg_PA,CITY,976,1947,3356,3100,16749,1616,1336,8987,23888,1317,135,6812,1471,6378,5775,3498,344,520,598,12283,885,280382,2021-11-01 00:00:00.000,Pittsburg_PA,360079
2021-02-01 00:00:00.000,DC,CITY,605,9031,32748,11328,16861,20254,4179,9516,56756,2609,726,14876,4618,10174,4913,35508,4680,4402,7677,152725,11233,1044971,2021-02-01 00:00:00.000,DC,1391538
2021-04-01 00:00:00.000,Richmond_VA_WVA,CITY,486,2241,32488,2281,7319,7030,978,1969,11432,464,575,4741,714,2653,2472,5847,577,687,935,21246,1559,148311,2021-04-01 00:00:00.000,Richmond_VA_WVA,233671
2021-08-01 00:00:00.000,Boston,CITY,687,5013,244508,7577,188104,3174,3685,4386,49989,2779,406,16130,3989,5132,6883,21707,3392,3428,5210,138040,8045,516304,2021-08-01 00:00:00.000,Boston,1065126
2021-02-01 00:00:00.000,Philadelphia,CITY,869,12768,36768,15358,253273,39114,5825,14908,91840,4353,2958,25748,10831,14011,8214,62074,7341,7506,11931,206120,17777,937996,2021-02-01 00:00:00.000,Philadelphia,1618816
2022-01-01 00:00:00.000,Baltimore_MD,CITY,446,1410,5219,2163,16066,1371,1302,1428,22164,845,108,5296,1428,3706,4096,11847,1948,1794,2046,33510,3042,278072,2022-01-01 00:00:00.000,Baltimore_MD,375060
2021-03-01 00:00:00.000,Pittsburg_PA,CITY,699,3491,43309,4044,10371,10571,1199,4020,21618,771,1190,9310,1398,4175,2387,12033,1379,1419,1960,62351,3841,219521,2021-03-01 00:00:00.000,Pittsburg_PA,376735
